name;imageUrl
McDonald's;https://images.deliveryhero.io/image/fd-tr/Products/10770272.jpg?width=400&height=400
Burger King;https://images.deliveryhero.io/image/fd-tr/Products/74368972.jpg?width=400&height=400
Craft burger;https://images.deliveryhero.io/image/fd-tr/Products/79538454.jpg?width=400&height=400
Popeyes;https://images.deliveryhero.io/image/fd-tr/Products/28499435.jpg?width=400&height=400
KFC;https://images.deliveryhero.io/image/fd-tr/Products/76550822.jpg?width=400&height=400
Tavuk Dünyası;https://images.deliveryhero.io/image/fd-tr/Products/68170657.jpg?width=400&height=400
Pizza;https://images.deliveryhero.io/image/fd-tr/Products/32379956.jpg?width=400&height=400
İskender Kebap;https://images.deliveryhero.io/image/fd-tr/products/6820574.jpg?width=400&height=400
Mersin Tantuni;https://images.deliveryhero.io/image/fd-tr/LH/v2gd-listing.jpg?width=400&height=225
Tombik Döner;https://images.deliveryhero.io/image/fd-tr/LH/tkwg-listing.jpg?width=400&height=400
Et Döner Dürüm;https://images.deliveryhero.io/image/fd-tr/LH/yvka-listing.jpg?width=400&height=400
Tavuk Döner Dürüm;https://images.deliveryhero.io/image/fd-tr/LH/q2lf-listing.jpg?width=400&height=400
Köfte;https://images.deliveryhero.io/image/fd-tr/LH/u0lj-listing.jpg?width=400&height=400
Kebap;https://images.deliveryhero.io/image/fd-tr/LH/i5mk-listing.jpg?width=400&height=400
Uzak Doğu;https://images.deliveryhero.io/image/fd-tr/LH/cw0hj-listing.jpg?width=400&height=400
Lahmacun;https://images.deliveryhero.io/image/fd-tr/LH/gs7m-listing.jpg?width=400&height=400
Pidem;https://images.deliveryhero.io/image/fd-tr/LH/f7of-listing.jpg?width=400&height=400
Subway Sandviç;https://images.deliveryhero.io/image/fd-tr/LH/u562-listing.jpg?width=400&height=400
Akdeniz Salatası;https://images.deliveryhero.io/image/fd-tr/LH/h2cz-listing.jpg?width=400&height=400
Bowl;https://images.deliveryhero.io/image/fd-tr/LH/uh6y-listing.jpg?width=400&height=400
